Size,Insulation,Voltage,Type,FROM,FROM_SWITCH,TO,TO_SWITCH,DELAYED_REASON,FAULT_NATURE,
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,,1) DMS OFFLINE AT LATHIA RUBBER S/S.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,,AFTER RELIEVING FEEDER SUPPLY RESTORED. DMS USED FOR ISOLATION AND RESTORATION.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SAM RESIDENCY,31778,SATRA PARK,37264,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SAMATA VIDYALAYA,31943,REHAB HSG 2,25766,1)SAMATA VIDYALAYA S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 2)FAILED TO OPEN - MULTIPLE COMMAND ANNABHAU SATHE NGR 2 S/S SW.NO.18257 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN - MULTIPLE COMMAND REHAB HSG 2 S/S DMS SW.NO.25766 FAILED TO OPERATE FROM SCADA. 4)FAILED TO CLOSE REHAB HSG 2 S/S DMS SW.NO.25767 FAILED TO OPERATE FROM SCADA. 5) DUE TO EXCAVATION ALONG THE ROUTE HEAVY TRAFFIC AT SATHE NAGAR ROAD. CI: 6486 CHL: 3322.75.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SANGHVI NAGAR,19096,SHYAM COMPLEX,36820,1)FAILED TO OPEN - MULTIPLE COMMAND SHYAM COMPLEX S/S DMS SW.NO.36820 FAILED TO OPERATE FROM SCADA. CABLE DAMAGED BY MBMC NEAR ST. WILFRED COLLEGE GATE.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SANGHVI NAGAR,19096,SHYAM COMPLEX,36820,1)FAILED TO OPEN SHYAM COMPLEX S/S DMS SW.NO.36819 FAILED TO OPERATE FROM SCADA. 2) DMS OFFLINE AT VIJAY PARK S/S. 3) DMS OFFLINE AT JANGID COMPLEX S/S.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SANKALP ENCLAVE,38856,MASACHA PADA NO. 2,42496,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SANKALP ENCLAVE,38856,MASACHA PADA NO. 2,42497,1)FAILED TO OPEN KASHI NORTH NO.1 S/S DMS SW.NO.02760 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN ASTRAL GLASS S/S SW.NO.25533 FAILED TO OPERATE FROM SCADA. 3)MANSI HERITAGE S/S (DMS) WENT OFFLINE AFTER TRIPPING. 4) DMS OFFLINE AT MOMIN MILK COLONY S/S. 5) DMS OFFLINE AT GREEN VALLEY STUDIO S/S. 6) DMS OFFLINE AT GREEN VILLAGE S/S. 7) DMS OFFLINE AT WESTERN PARK S/S.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SANKALP ENCLAVE,38856,MASACHA PADA NO. 2,42497,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SANT MUKTABAI ROAD,36825,VILE PARLE TELEPHONE EXCHANGE,5943,1)NEEL KAMAL S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2) DMS OFFLINE AT VILE PARLE TELEPHONE EXCHANGE S/S. 3)FAILED TO CLOSE CHARMEE ENCLAVE S/S SW.NO.25553 FAILED TO OPERATE FROM SCADA. 4) HEAVY TRAFFIC ON SANTACRUZ SIGNAL AND MILAN SUBWAY ROAD.. 5) SECTION DEAD BETWEEN PARLE MARKET (W) CSS TO LAJPATRAI RD CSS.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SANTACRUZ 81 CREST,42839,GAZDAR NORTH,32984,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SANTACRUZ 81 CREST,42839,GAZDAR NORTH,32984,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,,1) FPI MALFUNCTION AT PRATIRAKSHA NAGAR NO.2 S/S SW.NO.37847 (GLOWN). 2)SOLITAIR HEIGHTS S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 3)FAILED TO CLOSE PRATIRAKSHA NAGAR NO.2 S/S DMS SW.NO.37847 FAILED TO OPERATE FROM SCADA.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SAPPHIRE RESIDENCY,41365,SANTACRUZ SOUTH NO.1,41954,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SARLA GARDEN,32476,MANGIRISH,34607,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SECTOR 8 NO 5,28017,SECTOR 8 NO 2,28422,1) FPI MALFUNCTION AT SECTOR 8 NO 5 S/S SW.NO.28017 (NOT GLOWN). 2) DI : SECTION 8 NO 5 CI : 1488 CHL 198.4 ..,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SETHIA GRANDEUR,39541,AIR FORCE COLONY NO. 2,35753,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHALOM RESIDENCY,31961,SALASAR AANGAN,38625,1) SHREE VASUDEV COMPLEX SW NO 29933 FAILED TO OEPRATE FROM SCADA 2) PRATHMESH RESIDENCY SW NO 41236 FAILED TO OPERATE FROM SCADA 3) SALASAR AANGAN SW NO 38625 FAILED TO OPEN- MULTIPLE COMMANDS FROM SCADA 4) OPERATION SQUAD WAS BUSY IN ANOTHER 11 KV FAULT ISOLATION RESTORATION IN SAME AREA 5) LOADING CONSTRAINT 6) HEAVY TRAFFIC ON MIRA BHAYANDER ROAD..,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHANBAUG STRORAGE,19699,BHIMWADI 2,16401,1)FAILED TO CLOSE - MULTIPLE COMMAND ARIES S/S SW.NO.16293 FAILED TO OPERATE FROM SCADA. 2)FAILED TO CLOSE - MULTIPLE COMMAND SLAUGHTER HOUSE 2 S/S DMS SW.NO.30812 FAILED TO OPERATE FROM SCADA. 3) DMS OFFLINE AT DHIRAJ IRON & STEEL S/S. 4) FEEDER TRIPPING DURING FEP BUILD ACTIVITY DUE TO ALL OSI SYSTEM GET OFFLINE ISOLATION CARRIED OUT AFTER 8 MIN FROM TRIPPING DI: 1) ARIES S/S 2) SLAUGHTER HOUSE 2 S/S 3)DHIRAJ IRON & STEEL CI: 5130 CHL:786.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHANTIDHAM NO 3,28368,SHREE KRISHNA GARDEN,31840,SECTION DEAD BETWEEN KASHI NORTH TO SHREE KRISHNA GARDEN VIA MIRA DSS..,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHETH ELEGANCE,31790,RAJASHRI,10111,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHIV PARVATI COMPLEX,34484,ASALPHA VILLEGE 1,5251,1) HEAVY TRAFFIC ON ANDHERI KURLA ROAD . 2) ACCESS PROBLEM AT SHIV PRERNA S/S ROAD BLOCKED BY JCB ROAD CONSTRUCTION . 3) DMS OFFLINE AT ASALPHA VILLEGE 1 S/S.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHIV PARVATI,25059,USHA GARDEN,28841,1)CHINCHAVLI ROAD NO.2 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. OPERATION SQUAD WAS BUSY ON OTHER ACTIVITY. DI:CHINCHAVLI ROAD NO 2 CSS CI :399 CHL 232.75.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHIV PUSHP,29859,GAJANAN PARADISE,37195,1)FAILED TO OPEN RAMDEV PARK S/S SW.NO.25369 FAILED TO OPERATE FROM SCADA.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHIVSHAHI BATCHING PLANT,34386,VANIKARAN,42488,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHREE PARK BUILDING,30558,INDRAJEET,18881,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHREE SAI TOWER,40507,HANUMAN NAGAR NO 1,14958,1)FAILED TO OPEN HANUMAN NAGAR NO 1 S/S SW.NO.14958 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN DAHISAR NORTH S/S DMS SW.NO.16443 FAILED TO OPERATE FROM SCADA.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHRICHAND BAJAJ,39103,CELESTIAL,40831,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHRICHAND BAJAJ,39107,RUBY LIGHT CHS,35015,1)LINK CORNER MALL S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHRIJI JEWELLERY,43061,LODHA SUPREMUS,42056,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SHUBAM,30236,SALASAR TOWER,26232,1)SIDDESHWAR APPARTMENT S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)SALASAR TOWER S/S (DMS) WENT OFFLINE AFTER TRIPPING. DI: SIDDESHWAR APPT SALASAR TOWER CI: 961 CHL:318.13.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SONAL,16128,IC COLONY NO 2,12653,1)IC COLONY NO 1 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 2)PALLADIUM S/S (DMS) WENT OFFLINE AFTER TRIPPING. DI: I.C COLONY NO.1 PALLADIUM CI:1767 CHL: 500.65.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SRISHTI SEWAGE,9579,SRISHTI NO 1,17119,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SUBHASH LANE,5887,BACHANI NAGAR,4075,1)KEDARMAL ROAD S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 2)FAILED TO CLOSE QUARRY ROAD NO.2 S/S DMS SW.NO.04422 FAILED TO OPERATE FROM SCADA. 3) DMS OFFLINE AT INDRAPRASTHA S/S. 4) DMS OFFLINE AT SUMIT PRAMUKH ENCLAVE S/S.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SUJATA SHOPPING CENTRE,30440,MANI PADA NO.3,30438,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SUMIT ARTISTA,39925,MHADA HIG,41234,1)FAILED TO OPEN MHADA HIG S/S SW.NO.41234 FAILED TO OPERATE FROM SCADA. 2)SUMIT ARTISTA S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3) FPI NOT INSTALLED AT MHADA HIG CSS,,
,,,,,,,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SUNCITY HOUSING NO 2,42572,TIRANDAJ VILLEGE 2,42462,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SWAMI SAMARTH NAGAR RECEIVING STATION,38740,JIO DATA CENTER,43006,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SWAMI SAMARTH NAGAR RECEIVING STATION,38740,JIO DATA CENTER,43006,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,SWAMI SAMARTH NAGAR RECEIVING STATION,38747,GAODEVI SOCIETY,39239,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,,1) FPI MALFUNCTION AT KURLA 3 S/S SW.NO.02107 (GLOWN).,,
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,,1)FAILED TO CLOSE GODREJ & BOYCE 1 S/S DMS SW.NO.04289 FAILED TO OPERATE FROM SCADA. 2) FEEDER TRIPPING AT TAGORE NGR. REC-STN SW.NO.10566.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,TAJ AIR,25479,AERODROME NO.1,43234,1) DMS OFFLINE AT TAJ AIR S/S. 2) FPI MALFUNCTION AT AERODROME NO.1 S/S SW.NO.43234 (GLOWN). 3) ACCESS PROBLEM AT TAJ AIR S/S. 3) ABNORMAL AUTO TRIP EVENT APPEARED ON SCADA.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,TANDICE 69,43020,BOSTON NO-2,35731,1)FAILED TO CLOSE CHAKALA REC-STN SW.NO.11914 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN BOSTON S/S DMS SW.NO.25764 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN TANDICE 69 S/S SW.NO.43020 FAILED TO OPERATE FROM SCADA. 4) FPI MALFUNCTION AT BOSTON NO-2 S/S SW.NO.35731 (GLOWN). 5) HEAVY TRAFFIC AT JUHU CIRCLE. CHL:186 CI:429.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,TEDDINGTON,28310,CALLISTA CHS,41278,1) FPI MALFUNCTION AT SUREN ROAD NO.1 S/S SW.NO.15526 (GLOWN). 2) FPI MALFUNCTION AT TEDDINGTON S/S SW.NO.28310 (NOT GLOWN). 3) FPI MALFUNCTION AT TEDDINGTON S/S SW.NO.28311 (GLOWN). 4)FAILED TO CLOSE RAJ RATAN S/S DMS SW.NO.09415 FAILED TO OPERATE FROM SCADA. 5)FAILED TO CLOSE JOGESHWARI EAST NO.2 S/S DMS SW.NO.07102 FAILED TO OPERATE FROM SCADA.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,TELEPHONE WORK SHOP,2739,MANKHURD TELE.EXCH.,17770,1) FPI MALFUNCTION AT UDAYGIRI S/S SW.NO.12096 (NOT GLOWN). 2) FPI MALFUNCTION AT UDAYGIRI S/S SW.NO.32294 (NOT GLOWN). 3)FAILED TO OPEN - MULTIPLE COMMAND UDAYGIRI S/S DMS SW.NO.32294 FAILED TO OPERATE FROM SCADA. 4)FAILED TO OPEN - MULTIPLE COMMAND UDAYGIRI S/S DMS SW.NO.12096 FAILED TO OPERATE FROM SCADA. 5) ACCESS PROBLEM AT TELEPHONE WORK SHOP S/S WATCHMEN NOT AVAILABLE ON SITE . .,,
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,,1)FAILED TO CLOSE - MULTIPLE COMMAND BHARAT GLASS S/S DMS SW.NO.17219 FAILED TO OPERATE FROM SCADA.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,TILAK NGR EKTA CHS,38941,TILAK NGR EAGLE,41274,1)TILAK NGR SARVMANGAL S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)TILAK NGR RAVIKIRAN S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3)FAILED TO OPEN TILAK NGR EKTA CHS S/S DMS SW.NO.38941 FAILED TO OPERATE FROM SCADA. 4) TILAK NAGAR DSS 11 KV TRAFO BREAKER SWITCH NO.31983 TRIPPED AS 11 KV FEEDER 31984 FAILED TO OPEN FROM SCADA DURING ISOLATION AND RESTORATION OF 11 KV FEEDER 31984.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,TISTA IMPEX,43563,DATAMATICS TECHNOLOGY,17477,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,TRIKUTA TOWER,31915,SUNCITY HOUSING NO 2,30942,1) HEAVY TRAFFIC NEAR POWAI PLAZA IIT MAIN GATE IIT MARKET AND GANDHI NAGAR SIGNAL. 2)FAILED TO CLOSE SUN HEIGHT S/S DMS SW.NO.30431 FAILED TO OPERATE FROM SCADA. 3)SUN HEIGHT S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 4) DMS OFFLINE AT SUNCITY HOUSING NO 2 S/S.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,TROMBAY VILLEGE,30451,TROMBAY 1,11634,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,V MALL,36346,SANTACRUZ NORTH NO.1,4328,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,VAKOLA EAST,4029,AERODROME NO.1,39758,1) DMS OFFLINE AT AERODROME NO.1 S/S. 2) DMS OFFLINE AT TAJ AIR S/S.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,VAKOLA SOUTH NO.2,16261,GOLD COIN NO.2,25071,1)FAILED TO OPEN - MULTIPLE COMMAND VAKOLA SOUTH NO.2 S/S DMS SW.NO.16261 FAILED TO OPERATE FROM SCADA. IF VAKOLA (S) NO.2 WAS ONLINE IT WOULD HAVE BEEN RESTORED IN 5 MIN.,,
,,,,,,,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,VAZIRA VILLAGE NO 1,32464,LOKMANYA TILAK MARG,7974,1) DMS OFFLINE AT LOKMANYA TILAK MARG S/S. 2) FPI MALFUNCTION AT LOKMANYA TILAK MARG S/S SW.NO.07972 (GLOWN). 3)FAILED TO CLOSE VAZIRA VILLAGE NO 1 S/S DMS SW.NO.32464 FAILED TO OPERATE FROM SCADA.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,VERSOVA RECEIVING STATION,40871,BHAGTANI HEIGHT NO 2,29780,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,VIJAY HOMES COMPLEX,31075,MAXUS MALL,29468,1)FAILED TO OPEN RADHA RESIDENCY S/S DMS SW.NO.28899 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN INDRALOK RESIDENCY S/S DMS SW.NO.37559 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN RADHARAMAN TOWER S/S DMS SW.NO.37184 FAILED TO OPERATE FROM SCADA.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,VIJAY HOMES COMPLEX,31075,MAXUS MALL,29468,1)FAILED TO OPEN RADHA RESIDENCY S/S DMS SW.NO.28899 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN RADHA RESIDENCY S/S DMS SW.NO.28900 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN INDRALOK RESIDENCY S/S DMS SW.NO.37558 FAILED TO OPERATE FROM SCADA. 4)FAILED TO OPEN INDRALOK RESIDENCY S/S DMS SW.NO.37559 FAILED TO OPERATE FROM SCADA. 5)FAILED TO OPEN RADHARAMAN TOWER S/S DMS SW.NO.37184 FAILED TO OPERATE FROM SCADA. 6)FAILED TO OPEN RADHARAMAN TOWER S/S DMS SW.NO.37185 FAILED TO OPERATE FROM SCADA. 7)BHAIRAV SHRISTI S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,VISHRAMYOG,11702,GORAI HOUSING,6667,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,VISHWAGANGA,34270,BHAGWATI HOSPITAL,30903,1)MEDONA COLONY NO 2 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 2) FPI MALFUNCTION AT BHAGWATI HOSPITAL S/S SW.NO.30903 (GLOWN). 3) KARUNA HOSPITAL DMS OFFLINE CAME ONLINE AFTER 16 MINS. DI:MEDONA COLONY NO 2 CI: 2886 CHL: 770.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,WALCHAND NAGAR,40956,SHREE SAI ENCLAVE NO 2,35461,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,WINDSOR,38542,KALINA SOUTH NO.5,19690,1)FAILED TO CLOSE DANI WOOLTEX S/S DMS SW.NO.16696 FAILED TO OPERATE FROM SCADA.,,
300SQ.MM,XLPE,11KV,HTCF SECTION,WOODLAND,12483,SHUPKARNA,17433,1)FAILED TO OPEN WOODLAND S/S SW.NO.12483 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN SHUPKARNA S/S DMS SW.NO.17433 FAILED TO OPERATE FROM SCADA. 3) FPI MALFUNCTION AT SHUPKARNA S/S SW.NO.17433 (GLOWN).,,
300SQ.MM,XLPE,11KV,HTCF SECTION,WORLD BANK,15630,RESHAM,9370,1)FAILED TO CLOSE - MULTIPLE COMMAND VERSOVA R S C 21 S/S DMS SW.NO.15381 FAILED TO OPERATE FROM SCADA. 2) FPI MALFUNCTION AT VERSOVA R S C 21 S/S SW.NO.15381 (NOT GLOWN). 3)AUDIBLE SOUND NOT APPEARED WITH ALARM. WORLD BANK SW:12872 FAILED TO OPEN FROM SITE..,,
300SQ.MM,XLPE,11KV,HTCF SECTION,YARI ROAD,2628,HARMINDER SINGH ROAD,11632,1) HEAVY TRAFFIC ON VERSOVA RD AND JP ROAD.ALSO ACEESS ISSUE AT YARI ROAD S/S. RESTORATION DELAYED AS AUTOTRIP TRIP ALARM DIDN T APPEAR ON SCADA.ISOLATION AFTER MULTIPLE COMPAINTS FROM S/S.,,
300SQ.MM,XLPE,22KV,HTCF SECTION,,,,,,,
300SQ.MM,XLPE,22KV,HTCF SECTION,,,,,,,
300SQ.MM,XLPE,22KV,HTCF SECTION,,,,,1)FAILED TO CLOSE - MULTIPLE COMMAND BHARAT GLASS S/S DMS SW.NO.17219 FAILED TO OPERATE FROM SCADA.,,
300SQ.MM,XLPE,22KV,HTCF SECTION,,,,,,,
300SQ.MM,XLPE,22KV,HTCF SECTION,,,,,,,
300SQ.MM,XLPE,22KV,HTCF SECTION,,,,,,,
300SQ.MM,XLPE,22KV,HTCF SECTION,,,,,,,
300SQ.MM,XLPE,33KV,HTCF SECTION,AAREY UNIT 20,19880,AAREY KIOSK,11540,,,
300+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CULVEM VILLAGE,9805,JAMES LOBO,41464,1)FAILED TO OPEN - MULTIPLE COMMAND JAMES LOBO S/S DMS SW.NO.41464 FAILED TO OPERATE FROM SCADA. 2) DMS OFFLINE AT GORAI VILLAGE NO 2 S/S. 3) DMS OFFLINE AT NAIDU HOUSE S/S. 4) SUPPLY RESTORED AFTER TAKING DEAD SECTION MANORI VILLAGE TO MANORI TANK INTO SERVICE..,,
300+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOREGAON TELEPHONE EXCHANGE,34580,UDYOG NAGAR NO.2,2729,1)FAILED TO OPEN - MULTIPLE COMMAND GOREGAON TELEPHONE EXCHANGE S/S DMS SW.NO.34580 FAILED TO OPERATE FROM SCADA. 2) SWITCH WENT IN DISTURBED POSITION AT OZONE NO.2 CSS (SWITCH NO.40647) AFTER GIVING OPEN COMMAND.,,
,,,,,,,,,,
300+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VIKHROLI 2,26361,SUDARSHAN,12584,1) DMS OFFLINE AT NAVAL GARRISON S/S. 2)FAILED TO OPEN - MULTIPLE COMMAND DALMIA S/S SW.NO.812 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN - MULTIPLE COMMAND DALMIA S/S SW.NO.813 FAILED TO OPERATE FROM SCADA. 4)FAILED TO OPEN SUDARSHAN S/S SW.NO.12586 FAILED TO OPERATE FROM SCADA. 5)FAILED TO CLOSE - MULTIPLE COMMAND HINDUSTAN KOHINOOR 2 S/S SW.NO.14081 FAILED TO OPERATE FROM SCADA.,,
300+120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JEWEL TOWER,25845,ROSY BLUE,31863,1)JEWEL TOWER S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)MANI PADA NO.1 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 3)FAILED TO OPEN KALINA SOUTH NO.1 S/S SW.NO.40230 FAILED TO OPERATE FROM SCADA. 4)FAILED TO OPEN KALINA SOUTH NO.1 S/S SW.NO.40232 FAILED TO OPERATE FROM SCADA. 5) FPI MALFUNCTION AT KALINA SOUTH NO.1 S/S SW.NO.40231 (NOT GLOWN).,,
300+120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PANCHASHEEL GARDEN,19224,DAHANUKARWADI ASHWIN,37041,1)FAILED TO OPEN PANCHASHEEL GARDEN S/S DMS SW.NO.19224 FAILED TO OPERATE FROM SCADA. 2) SECTION DEAD BETWEEN DAHANUKARWADI RAMJEE NO.2 TO DAHANUKARWADI ASHWIN. ALL SUPPLY RESTORED AFTER TAKING SECTION IN SERVICE..,,
300+120+150SQ.MM,XLPE,11KV,HTCF SECTION,KASTURBA ROAD,6163,NIVATIA ROAD NO.3,35343,1)FAILED TO OPEN GINI APARTMENT S/S DMS SW.NO.11968 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN GINI APARTMENT S/S DMS SW.NO.11968 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN NIVATIA ROAD NO.2 S/S DMS SW.NO.10377 FAILED TO OPERATE FROM SCADA. 4) SQUAD WAS BUSY IN MAHANANDA TRIPPING DI:NIVATIA ROAD NO.2 GINI APPT CI:2643 CHL:3948..,,
300+120+150SQ.MM,XLPE,11KV,HTCF SECTION,PANCHASHEEL GARDEN,19224,DAHANUKARWADI ASHWIN,37041,1)FAILED TO OPEN PANCHASHEEL GARDEN S/S DMS SW.NO.19224 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN PANCHASHEEL GARDEN S/S DMS SW.NO.19223 FAILED TO OPERATE FROM SCADA. 3)FAILED TO CLOSE VINEET SOCIETY S/S SW.NO.31020 FAILED TO OPERATE FROM SCADA. ALL SUPPLY RESTORED AFTER CHARGING DEAD SECTION BETWEEN VINEET SOCIETY SW: 31020 TO DAHANUKARWADI SW :28157.,,
300+120+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,,1)FAILED TO CLOSE NATRAJ (CINEMA) S/S DMS SW.NO.07608 FAILED TO OPERATE FROM SCADA. 2)FAILED TO CLOSE CHEMBUR GYMKHANA S/S SW.NO.16028 FAILED TO OPERATE FROM SCADA. CHL:- 701.4 CI:- 1503 DMS IMPACT:-NATRAJ.,,
300+120+400SQ.MM,XLPE,11KV,HTCF SECTION,LAXMI INDUSTRIAL ESTATE NO.1,19605,MOHAN BAKERY,19780,1)LAXMI INDUSTRIES NORTH NO.2 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. DI: LAXMI IND (N) NO.2 CI:22 CHL: 5.1.,,
300+120+70+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHERWADI RAILWAY QUARTERS,18893,NAVPADA NO.2,26662,,,
,,,,,,,,,,
300+150SQ.MM,XLPE,11KV,HTCF SECTION,NG SILVER SPRING,43101,NARMADA GAGAN,37941,1)RAJ HORIZON S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 2)SHREE SAI SNEHA COMPLEX S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3)SEVEN SQUARE ACADEMY S/S (DMS) WENT OFFLINE AFTER TRIPPING. 4)SAI CHARAN RESIDENCY S/S (DMS) WENT OFFLINE AFTER TRIPPING. 5)FAILED TO OPEN - MULTIPLE COMMAND IDEAL ENCLAVE S/S DMS SW.NO.29371 FAILED TO OPERATE FROM SCADA. 6)FAILED TO OPEN - MULTIPLE COMMAND IDEAL ENCLAVE S/S DMS SW.NO.29371 FAILED TO OPERATE FROM SCADA.,,
300+150SQ.MM,XLPE,11KV,HTCF SECTION,SAFALE VILLAGE NO 2,27004,SUNBEACH RESORT,41618,,,
300+150+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GARDEN COURT,13087,CHOKSI MILL,12273,1) FPI MALFUNCTION AT CHOKSI MILL S/S SW.NO.12273 (NOT GLOWN). 2) FPI MALFUNCTION AT CHOKSI MILL S/S SW.NO.12272 (NOT GLOWN).,,
300+150+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,LOTUS CLY,14283,DURGA SANGH,13528,1) DMS OFFLINE AT SHIVAJI NGR 1 S/S. DI SHIVAJI NGR NO 1 CI : 4542 CHL: 2422,,
300+150+120+240SQ.MM,XLPE,11KV,HTCF SECTION,GOVANDI EXHIBITOR,15529,RAM NIWAS,40761,,,
300+185SQ.MM,PILC+XLPE,11KV,HTCF SECTION,EVEREST NO.2,34884,HILL VIEW 2,15536,,,
300+185SQ.MM,XLPE,11KV,HTCF SECTION,EVEREST NO.2,34884,HILL VIEW 2,15536,1)EVEREST S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND.,,
300+185+225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,COSMOS BEETA,35181,IRLA NO.1 (PLT),374,1)FAILED TO OPEN IRLA NO.1 (PLT) S/S DMS SW.NO.00374 FAILED TO OPERATE FROM SCADA. 2)OPERATION SQUAD WAS BUSY AT HTC OUTAGE GODREJ BKC DSS.,,
300+185+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHAJURIYA ROAD NIKUNJ,42705,NAMAN TOWER,19344,,,
